Date,UNIX,Crude Oil,Ethereum,EURO,Gold,Yeng,Platinum,Silver,^DJI,BITCOIN,new_cases,new_deaths
"['2018', '03', '19']",1521432000.0,62.060001373291016,556.7260131835938,1.228078842163086,1316.800048828125,0.009424000047147274,952.9000244140625,16.2549991607666,24610.91015625,8630.650390625,0.0,0.0
"['2018', '03', '20']",1521518400.0,63.400001525878906,557.1749877929688,1.2336845397949219,1311.0999755859375,0.009413500316441059,943.5,16.125,24727.26953125,8913.4697265625,0.0,0.0
"['2018', '03', '21']",1521604800.0,65.16999816894531,561.7319946289062,1.2251899242401123,1320.699951171875,0.009441000409424305,949.0999755859375,16.35700035095215,24682.310546875,8929.2802734375,0.0,0.0
"['2018', '03', '22']",1521691200.0,64.30000305175781,539.7020263671875,1.2347661256790161,1326.5999755859375,0.009485499933362007,947.5999755859375,16.327999114990234,23957.890625,8728.4697265625,0.0,0.0
"['2018', '03', '23']",1521777600.0,65.87999725341797,539.6190185546875,1.2324985265731812,1349.300048828125,0.009556500241160393,946.9000244140625,16.530000686645508,23533.19921875,8879.6201171875,0.0,0.0
"['2018', '03', '25']",1521950400.0,,489.95098876953125,1.235437273979187,,,,,,8209.400390625,0.0,0.0
"['2018', '03', '25']",1521950400.0,,489.95098876953125,1.235437273979187,,,,,,8495.7802734375,0.0,0.0
"['2018', '03', '26']",1522036800.0,65.55000305175781,450.1159973144531,1.2457488775253296,1354.4000244140625,0.009518500417470932,948.9000244140625,16.631999969482422,24202.599609375,7833.0400390625,0.0,0.0
"['2018', '03', '27']",1522123200.0,65.25,446.2790222167969,1.240787148475647,1341.300048828125,0.009488999843597412,945.2000122070312,16.48900032043457,23857.7109375,7954.47998046875,0.0,0.0
"['2018', '03', '28']",1522209600.0,64.37999725341797,385.9679870605469,1.2310267686843872,1324.199951171875,0.009367999620735645,934.7000122070312,16.204999923706055,23848.419921875,7165.7001953125,0.0,0.0
"['2018', '03', '29']",1522296000.0,64.94000244140625,394.6449890136719,1.2302846908569336,1322.800048828125,0.00940600037574768,927.2999877929688,16.222999572753906,24103.109375,6890.52001953125,0.0,0.0
"['2018', '04', '01']",1522555200.0,,386.42498779296875,1.231420874595642,,,939.9000244140625,,,7083.7998046875,0.0,0.0
"['2018', '04', '02']",1522641600.0,63.0099983215332,416.89300537109375,1.229271411895752,1342.0999755859375,0.009455500170588493,930.7000122070312,16.62700080871582,23644.189453125,7456.10986328125,0.0,0.0
"['2018', '04', '03']",1522728000.0,63.5099983215332,380.5429992675781,1.2278525829315186,1332.800048828125,0.009389500133693218,925.2999877929688,16.347000122070312,24033.359375,6853.83984375,0.0,0.0
"['2018', '04', '04']",1522814400.0,63.369998931884766,383.23199462890625,1.228682279586792,1335.800048828125,0.009375999681651592,912.0999755859375,16.208999633789062,24264.30078125,6811.47021484375,0.0,0.0
"['2018', '04', '05']",1522900800.0,63.540000915527344,370.2850036621094,1.2251598834991455,1324.300048828125,0.00931250024586916,909.7999877929688,16.31999969482422,24505.220703125,6636.31982421875,0.0,0.0
"['2018', '04', '06']",1522987200.0,62.060001373291016,,,1331.9000244140625,0.009363500401377678,912.0,16.332000732421875,23932.759765625,6911.08984375,0.0,0.0
"['2018', '04', '08']",1523160000.0,,398.5260009765625,1.227144479751587,,,922.0999755859375,,,6770.72998046875,0.0,0.0
"['2018', '04', '09']",1523246400.0,63.41999816894531,414.2430114746094,1.2322403192520142,1336.300048828125,0.009367999620735645,933.9000244140625,16.499000549316406,23979.099609375,6834.759765625,0.0,0.0
"['2018', '04', '10']",1523332800.0,65.51000213623047,430.5400085449219,1.2363078594207764,1342.0,0.009334499947726727,927.5999755859375,16.56599998474121,24408.0,6968.31982421875,0.0,0.0
"['2018', '04', '11']",1523419200.0,66.81999969482422,492.9410095214844,1.2371643781661987,1356.5,0.009354500100016594,928.7999877929688,16.738000869750977,24189.44921875,7889.25,0.0,0.0
"['2018', '04', '12']",1523505600.0,67.06999969482422,492.7349853515625,1.2329696416854858,1338.4000244140625,0.009328500367701054,929.0,16.44300079345703,24483.05078125,7895.9599609375,0.0,0.0
"['2018', '04', '13']",1523592000.0,67.38999938964844,,,1344.800048828125,0.009309999644756317,927.2999877929688,16.628000259399414,24360.140625,7986.240234375,0.0,0.0
"['2018', '04', '15']",1523764800.0,,511.1470031738281,1.233258605003357,,,934.4000244140625,,,8058.669921875,0.0,0.0
"['2018', '04', '16']",1523851200.0,66.22000122070312,502.8940124511719,1.2385127544403076,1347.5,0.009327500127255917,925.7000122070312,16.66200065612793,24573.0390625,7902.08984375,0.0,0.0
"['2018', '04', '17']",1523937600.0,66.5199966430664,524.7890014648438,1.237317442893982,1347.199951171875,0.009359500370919704,933.9000244140625,16.77199935913086,24786.630859375,8163.419921875,0.0,0.0
"['2018', '04', '18']",1524024000.0,68.47000122070312,567.8889770507812,1.237914800643921,1351.199951171875,0.009336999617516994,939.5,17.231000900268555,24748.0703125,8294.3095703125,0.0,0.0
"['2018', '04', '19']",1524110400.0,68.29000091552734,615.718017578125,1.2345526218414307,1346.800048828125,0.009324000217020512,933.7000122070312,17.222000122070312,24664.890625,8845.830078125,0.0,0.0
"['2018', '04', '20']",1524196800.0,68.37999725341797,,,1336.699951171875,0.00930699985474348,925.5999755859375,17.14699935913086,24462.939453125,8895.580078125,0.0,0.0
"['2018', '04', '22']",1524369600.0,,642.5479736328125,1.2273402214050293,,,929.4000244140625,,,8930.8798828125,0.0,0.0
"['2018', '04', '23']",1524456000.0,68.63999938964844,708.1580200195312,1.22089684009552,1322.5,0.009216999635100365,916.2999877929688,16.570999145507812,24448.689453125,9697.5,0.0,0.0
"['2018', '04', '24']",1524542400.0,67.69999694824219,615.416015625,1.2241400480270386,1331.4000244140625,0.00921349972486496,928.9000244140625,16.687000274658203,24024.130859375,8845.740234375,0.0,0.0
"['2018', '04', '25']",1524628800.0,68.05000305175781,662.8090209960938,1.2171669006347656,1321.199951171875,0.0091559998691082,906.5999755859375,16.486000061035156,24083.830078125,9281.509765625,0.0,0.0
"['2018', '04', '26']",1524715200.0,68.19000244140625,647.0319213867188,1.2109616994857788,1316.300048828125,0.009153500199317932,904.0,16.488000869750977,24322.33984375,8987.0498046875,0.0,0.0
"['2018', '04', '27']",1524801600.0,68.0999984741211,,,1320.300048828125,0.009180000051856041,911.0,16.4060001373291,24311.189453125,9348.48046875,0.0,0.0
"['2018', '04', '29']",1524974400.0,,669.9240112304688,1.2122827768325806,,,916.0999755859375,,,9240.5498046875,0.0,0.0
"['2018', '04', '30']",1525060800.0,68.56999969482422,673.6129760742188,1.2081234455108643,1316.199951171875,0.009158000349998474,899.0,16.312000274658203,24163.150390625,9119.009765625,0.0,0.0
"['2018', '05', '01']",1525147200.0,67.25,687.1489868164062,1.1991558074951172,1303.800048828125,0.009114000014960766,888.7999877929688,16.038999557495117,24099.05078125,9235.919921875,0.0,0.0
"['2018', '05', '02']",1525233600.0,67.93000030517578,779.5430297851562,1.19510018825531,1302.5999755859375,0.009116499684751034,888.5,16.291000366210938,23924.98046875,9743.8603515625,0.0,0.0
"['2018', '05', '03']",1525320000.0,68.43000030517578,785.6240234375,1.1989257335662842,1310.699951171875,0.009161500260233879,898.7000122070312,16.36199951171875,23930.150390625,9700.759765625,0.0,0.0
"['2018', '05', '04']",1525406400.0,69.72000122070312,,,1312.699951171875,0.009169000200927258,905.0,16.43400001525879,24262.509765625,9858.150390625,0.0,0.0
"['2018', '05', '06']",1525579200.0,,753.7249755859375,1.195500135421753,,,911.4000244140625,,,9373.009765625,0.0,0.0
"['2018', '05', '07']",1525665600.0,70.7300033569336,752.8570556640625,1.1933743953704834,1312.199951171875,0.009173999540507793,908.0,16.413000106811523,24357.3203125,9234.8203125,0.0,0.0
"['2018', '05', '08']",1525752000.0,69.05999755859375,752.2749633789062,1.1867886781692505,1312.0,0.009175499901175499,907.0999755859375,16.38800048828125,24360.2109375,9325.1796875,0.0,0.0
"['2018', '05', '09']",1525838400.0,71.13999938964844,727.2769775390625,1.184721827507019,1311.300048828125,0.009118500165641308,911.5999755859375,16.45800018310547,24542.5390625,9043.9404296875,0.0,0.0
"['2018', '05', '10']",1525924800.0,71.36000061035156,679.5859985351562,1.1917530298233032,1320.800048828125,0.009144499897956848,920.5,16.68000030517578,24739.529296875,8441.490234375,0.0,0.0
"['2018', '05', '11']",1526011200.0,70.69999694824219,,,1319.0,0.009150000289082527,922.4000244140625,16.676000595092773,24831.169921875,8504.8896484375,0.0,0.0
"['2018', '05', '13']",1526184000.0,,730.5490112304688,1.1952143907546997,,,925.0,,,8716.7900390625,0.0,0.0
"['2018', '05', '14']",1526270400.0,70.95999908447266,708.8709716796875,1.1931180953979492,1316.5,0.009127999655902386,911.5,16.56999969482422,24899.41015625,8510.3798828125,0.0,0.0
"['2018', '05', '15']",1526356800.0,71.30999755859375,707.0499877929688,1.1820889711380005,1288.9000244140625,0.009078999981284142,893.7999877929688,16.194000244140625,24706.41015625,8368.830078125,0.0,0.0
"['2018', '05', '16']",1526443200.0,71.48999786376953,672.656982421875,1.1816978454589844,1290.199951171875,0.009087500162422657,886.5,16.297000885009766,24768.9296875,8094.31982421875,0.0,0.0
"['2018', '05', '17']",1526529600.0,71.48999786376953,694.3670043945312,1.1795234680175781,1288.199951171875,0.009045500308275223,889.0,16.413000106811523,24713.98046875,8250.9697265625,0.0,0.0
"['2018', '05', '18']",1526616000.0,71.27999877929688,,,1290.199951171875,0.009052000008523464,883.4000244140625,16.386999130249023,24715.08984375,8247.1796875,0.0,0.0
"['2018', '05', '20']",1526788800.0,,699.2219848632812,1.1766643524169922,,,886.5,,,8418.990234375,0.0,0.0
"['2018', '05', '21']",1526875200.0,72.23999786376953,647.7410278320312,1.1792453527450562,1290.199951171875,0.009015499614179134,896.7000122070312,16.45199966430664,25013.2890625,8041.77978515625,0.0,0.0
"['2018', '05', '22']",1526961600.0,72.12999725341797,583.5850219726562,1.1788560152053833,1291.699951171875,0.009023499675095081,905.7000122070312,16.507999420166016,24834.41015625,7557.81982421875,0.0,0.0
"['2018', '05', '23']",1527048000.0,71.83999633789062,601.7550048828125,1.1710150241851807,1289.300048828125,0.009099000133574009,897.7000122070312,16.33799934387207,24886.810546875,7587.33984375,0.0,0.0
"['2018', '05', '24']",1527134400.0,70.70999908447266,586.7340087890625,1.1722642183303833,1303.699951171875,0.009162000380456448,909.5,16.621000289916992,24811.759765625,7480.14013671875,0.0,0.0
"['2018', '05', '25']",1527220800.0,67.87999725341797,,,1303.300048828125,0.009151499718427658,898.2000122070312,16.481000900268555,24753.08984375,7355.8798828125,0.0,0.0
"['2018', '05', '27']",1527393600.0,,516.0360107421875,1.1688934564590454,,,901.4000244140625,,,7135.990234375,0.0,0.0
"['2018', '05', '28']",1527480000.0,,565.3880004882812,1.162696123123169,,,,,,7472.58984375,0.0,0.0
"['2018', '05', '29']",1527566400.0,66.7300033569336,559.5900268554688,1.1539349555969238,1298.699951171875,0.009248499758541584,902.7999877929688,16.30500030517578,24361.44921875,7406.52001953125,0.0,0.0
"['2018', '05', '30']",1527652800.0,68.20999908447266,577.64501953125,1.1667250394821167,1301.5,0.009196000173687935,910.4000244140625,16.479000091552734,24667.779296875,7494.169921875,0.0,0.0
"['2018', '05', '31']",1527739200.0,67.04000091552734,580.0430297851562,1.1693171262741089,1300.0999755859375,0.009215000085532665,909.4000244140625,16.402000427246094,24415.83984375,7541.4501953125,0.0,0.0
"['2018', '06', '01']",1527825600.0,65.80999755859375,,,1294.800048828125,0.009139499627053738,904.7000122070312,16.38800048828125,24635.2109375,7643.4501953125,0.0,0.0
"['2018', '06', '03']",1527998400.0,,592.9849853515625,1.1668611764907837,,,903.7000122070312,,,7514.47021484375,0.0,0.0
"['2018', '06', '04']",1528084800.0,64.75,609.302978515625,1.1700559854507446,1293.0999755859375,0.009119500406086445,901.5,16.378999710083008,24813.689453125,7633.759765625,0.0,0.0
"['2018', '06', '05']",1528171200.0,65.5199966430664,607.1240234375,1.1726216077804565,1297.5,0.00911800004541874,899.2999877929688,16.490999221801758,24799.98046875,7653.97998046875,0.0,0.0
"['2018', '06', '06']",1528257600.0,64.7300033569336,605.18701171875,1.178550362586975,1297.0999755859375,0.009081999771296978,905.5999755859375,16.642000198364258,25146.390625,7678.240234375,0.0,0.0
"['2018', '06', '07']",1528344000.0,65.94999694824219,601.0770263671875,1.1795234680175781,1298.699951171875,0.009119000285863876,898.2999877929688,16.766000747680664,25241.41015625,7624.919921875,0.0,0.0
"['2018', '06', '08']",1528430400.0,65.73999786376953,,,1298.0999755859375,0.009138500317931175,903.7000122070312,16.694000244140625,25316.529296875,7531.97998046875,0.0,0.0
"['2018', '06', '10']",1528603200.0,,533.2839965820312,1.1783976554870605,,,907.9000244140625,,,6906.919921875,0.0,0.0
"['2018', '06', '11']",1528689600.0,66.0999984741211,496.843017578125,1.177412509918213,1298.9000244140625,0.009092999622225761,904.4000244140625,16.905000686645508,25322.310546875,6582.35986328125,0.0,0.0
"['2018', '06', '12']",1528776000.0,66.36000061035156,477.4939880371094,1.17482590675354,1295.0999755859375,0.009066499769687653,899.5,16.849000930786133,25320.73046875,6349.89990234375,0.0,0.0
"['2018', '06', '13']",1528862400.0,66.63999938964844,519.7420043945312,1.1807769536972046,1296.9000244140625,0.009049500338733196,900.5,16.952999114990234,25201.19921875,6675.35009765625,0.0,0.0
"['2018', '06', '14']",1528948800.0,66.88999938964844,491.0040283203125,1.1566576957702637,1304.0,0.009045000188052654,908.9000244140625,17.22599983215332,25175.310546875,6456.580078125,0.0,0.0
"['2018', '06', '15']",1529035200.0,65.05999755859375,,,1274.5999755859375,0.00904150027781725,885.7999877929688,16.45199966430664,25090.48046875,6550.16015625,0.0,0.0
"['2018', '06', '17']",1529208000.0,,518.8909912109375,1.159595012664795,,,889.0,,,6734.81982421875,0.0,0.0
"['2018', '06', '18']",1529294400.0,65.8499984741211,537.9569702148438,1.1630746126174927,1276.199951171875,0.009057500399649143,881.9000244140625,16.41200065612793,24987.470703125,6769.93994140625,0.0,0.0
"['2018', '06', '19']",1529380800.0,65.06999969482422,536.2680053710938,1.1588560342788696,1275.5999755859375,0.009102500043809414,862.9000244140625,16.30299949645996,24700.2109375,6776.5498046875,0.0,0.0
"['2018', '06', '20']",1529467200.0,66.22000122070312,527.3670043945312,1.1579033136367798,1271.199951171875,0.009075500071048737,872.0999755859375,16.288999557495117,24657.80078125,6729.740234375,0.0,0.0
"['2018', '06', '21']",1529553600.0,65.54000091552734,465.8169860839844,1.1605775356292725,1267.199951171875,0.00911749992519617,861.2000122070312,16.305999755859375,24461.69921875,6083.68994140625,0.0,0.0
"['2018', '06', '22']",1529640000.0,68.58000183105469,,,1267.4000244140625,0.009114500135183334,871.2999877929688,16.43899917602539,24580.890625,6162.47998046875,0.0,0.0
"['2018', '06', '24']",1529812800.0,,460.3100280761719,1.1661399602890015,,,878.5,,,6249.18017578125,0.0,0.0
"['2018', '06', '25']",1529899200.0,68.08000183105469,432.7720031738281,1.1702749729156494,1265.5999755859375,0.009151999838650227,866.7999877929688,16.308000564575195,24252.80078125,6093.669921875,0.0,0.0
"['2018', '06', '26']",1529985600.0,70.52999877929688,442.364990234375,1.1650259494781494,1256.5999755859375,0.009093999862670898,869.2999877929688,16.238000869750977,24283.109375,6157.1298828125,0.0,0.0
"['2018', '06', '27']",1530072000.0,72.76000213623047,422.3649597167969,1.1563634872436523,1252.800048828125,0.009085999801754951,856.2999877929688,16.138999938964844,24117.58984375,5903.43994140625,0.0,0.0
