Date,EURO,Platinum,Gold,Crude Oil,Silver,Ethereum,Yeng,^DJI,BITCOIN,new_cases,new_deaths
"[2018, 3, 19]",1.228078842,952.9000244,1316.800049,62.06000137,16.25499916,556.7260132,0.009424,24610.91016,8630.650391,0,0
"[2018, 3, 20]",1.23368454,943.5,1311.099976,63.40000153,16.125,557.1749878,0.0094135,24727.26953,8913.469727,0,0
"[2018, 3, 21]",1.225189924,949.0999756,1320.699951,65.16999817,16.35700035,561.7319946,0.009441,24682.31055,8929.280273,0,0
"[2018, 3, 22]",1.234766126,947.5999756,1326.599976,64.30000305,16.32799911,539.7020264,0.0094855,23957.89063,8728.469727,0,0
"[2018, 3, 23]",1.232498527,946.9000244,1349.300049,65.87999725,16.53000069,539.6190186,0.0095565,23533.19922,8879.620117,0,0
"[2018, 3, 25]",1.235437274,950.5,,,,489.9509888,,,8209.400391,0,0
"[2018, 3, 25]",1.235437274,950.5,,,,489.9509888,,,8495.780273,0,0
"[2018, 3, 26]",1.245748878,948.9000244,1354.400024,65.55000305,16.63199997,450.1159973,0.0095185,24202.59961,7833.040039,0,0
"[2018, 3, 27]",1.240787148,945.2000122,1341.300049,65.25,16.48900032,446.2790222,0.009489,23857.71094,7954.47998,0,0
"[2018, 3, 28]",1.231026769,934.7000122,1324.199951,64.37999725,16.20499992,385.9679871,0.009368,23848.41992,7165.700195,0,0
"[2018, 3, 29]",1.230284691,927.2999878,1322.800049,64.94000244,16.22299957,394.644989,0.009406,24103.10938,6890.52002,0,0
"[2018, 4, 1]",1.231420875,939.4000244,,,,386.4249878,,,7083.799805,0,0
"[2018, 4, 2]",1.229271412,930.7000122,1342.099976,63.00999832,16.62700081,416.8930054,0.0094555,23644.18945,7456.109863,0,0
"[2018, 4, 3]",1.227852583,925.2999878,1332.800049,63.50999832,16.34700012,380.5429993,0.0093895,24033.35938,6853.839844,0,0
"[2018, 4, 4]",1.22868228,912.0999756,1335.800049,63.36999893,16.20899963,383.2319946,0.009376,24264.30078,6811.470215,0,0
"[2018, 4, 5]",1.225159883,909.7999878,1324.300049,63.54000092,16.31999969,370.2850037,0.0093125,24505.2207,6636.319824,0,0
"[2018, 4, 6]",,912,1331.900024,62.06000137,16.33200073,,0.0093635,23932.75977,6911.089844,0,0
"[2018, 4, 8]",1.22714448,921.7999878,,,,398.526001,,,6770.72998,0,0
"[2018, 4, 9]",1.232240319,933.9000244,1336.300049,63.41999817,16.49900055,414.2430115,0.009368,23979.09961,6834.759766,0,0
"[2018, 4, 10]",1.236307859,927.5999756,1342,65.51000214,16.56599998,430.5400085,0.0093345,24408,6968.319824,0,0
"[2018, 4, 11]",1.237164378,928.7999878,1356.5,66.81999969,16.73800087,492.9410095,0.0093545,24189.44922,7889.25,0,0
"[2018, 4, 12]",1.232969642,929,1338.400024,67.06999969,16.44300079,492.7349854,0.0093285,24483.05078,7895.959961,0,0
"[2018, 4, 13]",,927.2999878,1344.800049,67.38999939,16.62800026,,0.00931,24360.14063,7986.240234,0,0
"[2018, 4, 15]",1.233258605,934.5,,,,511.1470032,,,8058.669922,0,0
"[2018, 4, 16]",1.238512754,925.7000122,1347.5,66.22000122,16.66200066,502.8940125,0.0093275,24573.03906,7902.089844,0,0
"[2018, 4, 17]",1.237317443,933.9000244,1347.199951,66.51999664,16.77199936,524.7890015,0.0093595,24786.63086,8163.419922,0,0
"[2018, 4, 18]",1.237914801,939.5,1351.199951,68.47000122,17.2310009,567.8889771,0.009337,24748.07031,8294.30957,0,0
"[2018, 4, 19]",1.234552622,933.7000122,1346.800049,68.29000092,17.22200012,615.7180176,0.009324,24664.89063,8845.830078,0,0
"[2018, 4, 20]",,925.5999756,1336.699951,68.37999725,17.14699936,,0.009307,24462.93945,8895.580078,0,0
"[2018, 4, 22]",1.227340221,929,,,,642.5479736,,,8930.879883,0,0
"[2018, 4, 23]",1.22089684,916.2999878,1322.5,68.63999939,16.57099915,708.15802,0.009217,24448.68945,9697.5,0,0
"[2018, 4, 24]",1.224140048,928.9000244,1331.400024,67.69999695,16.68700027,615.4160156,0.0092135,24024.13086,8845.740234,0,0
"[2018, 4, 25]",1.217166901,906.5999756,1321.199951,68.05000305,16.48600006,662.809021,0.009156,24083.83008,9281.509766,0,0
"[2018, 4, 26]",1.210961699,904,1316.300049,68.19000244,16.48800087,647.0319214,0.0091535,24322.33984,8987.049805,0,0
"[2018, 4, 27]",,911,1320.300049,68.09999847,16.40600014,,0.00918,24311.18945,9348.480469,0,0
"[2018, 4, 29]",1.212282777,916.2000122,,,,669.9240112,,,9240.549805,0,0
"[2018, 4, 30]",1.208123446,899,1316.199951,68.56999969,16.31200027,673.6129761,0.009158,24163.15039,9119.009766,0,0
"[2018, 5, 1]",1.199155807,888.7999878,1303.800049,67.25,16.03899956,687.1489868,0.009114,24099.05078,9235.919922,0,0
"[2018, 5, 2]",1.195100188,888.5,1302.599976,67.93000031,16.29100037,779.5430298,0.0091165,23924.98047,9743.860352,0,0
"[2018, 5, 3]",1.198925734,898.7000122,1310.699951,68.43000031,16.36199951,785.6240234,0.0091615,23930.15039,9700.759766,0,0
